N,P,K,temperature,humidity,ph,rainfall,label
22.89,133.9,207.8,20.81,92.58,6.24,110.55,apple
20.0,133.76,201.16,13.51,84.03,5.61,62.32,grapes
18.34,23.52,32.84,28.58,53.17,4.85,153.09,mango
22.2,15.81,34.72,27.07,91.37,6.97,154.35,coconut
24.44,73.01,18.63,23.58,65.55,6.67,44.02,lentil
27.75,53.19,23.3,31.48,85.61,6.81,96.43,mungbean
102.54,17.53,54.03,31.57,89.55,6.13,29.76,muskmelon
19.88,16.94,34.3,26.84,91.08,6.41,141.86,coconut
18.53,21.76,15.65,10.97,90.97,6.36,115.16,orange
99.09,21.33,49.59,31.72,93.74,6.76,22.01,muskmelon
21.89,15.65,11.04,10.06,93.56,7.33,116.71,orange
33.5,78.55,22.48,24.59,41.67,6.0,169.09,pigeonpeas
23.58,130.95,202.55,20.1,94.5,5.82,118.34,apple
41.54,61.17,81.68,21.28,21.78,8.37,80.69,chickpea
30.54,75.67,16.09,34.1,69.47,6.43,83.74,blackgram
101.54,31.85,32.41,27.41,61.16,6.52,166.21,coffee
37.08,68.78,28.16,24.25,18.44,6.83,122.42,kidneybeans
19.3,17.83,32.05,27.25,93.66,6.64,144.11,coconut
45.26,67.2,76.75,22.5,20.09,6.92,75.88,chickpea
31.01,48.06,28.0,33.15,62.24,4.81,75.53,mothbeans
24.76,58.17,23.62,29.66,65.21,4.04,98.73,mothbeans
19.65,126.7,201.67,11.09,83.87,6.58,62.67,grapes
53.79,73.53,79.31,20.27,18.33,7.95,64.26,chickpea
20.0,20.33,12.9,14.7,91.76,6.62,117.87,orange
24.91,61.12,19.0,16.42,67.76,6.11,48.36,lentil
45.24,71.83,17.73,33.33,68.12,6.6,82.14,blackgram
111.44,82.89,48.86,27.67,88.19,6.12,148.2,banana
22.02,15.06,31.17,27.06,90.51,7.65,141.71,coconut
18.9,20.07,14.87,13.4,93.64,6.85,118.61,orange
75.57,40.22,49.05,20.64,83.19,6.93,295.06,rice
20.48,46.71,20.12,25.98,94.57,6.6,83.72,mungbean
22.84,14.82,33.58,26.09,89.46,6.66,142.1,coconut
19.42,124.11,208.41,10.27,84.18,6.08,69.73,grapes
38.37,53.0,19.24,29.02,64.58,6.23,61.82,mothbeans
19.78,17.9,31.53,27.2,93.27,6.68,158.29,coconut
35.32,76.92,25.36,18.62,21.41,5.62,120.38,kidneybeans
20.11,15.9,32.3,26.78,94.74,6.35,152.07,coconut
22.59,45.13,22.26,31.74,51.25,4.24,130.9,mothbeans
112.67,73.19,52.23,25.6,76.18,6.29,140.28,banana
20.19,20.09,15.37,13.37,91.23,7.4,112.64,orange
101.53,20.12,52.43,26.43,85.31,6.3,45.6,watermelon
101.22,32.42,33.18,26.61,58.61,6.93,159.11,coffee
40.29,61.99,16.14,35.71,66.88,6.6,67.79,blackgram
103.43,20.37,54.49,29.33,92.03,6.01,20.07,muskmelon
100.82,31.41,32.72,25.63,63.86,6.29,153.73,coffee
99.79,17.17,54.81,28.61,90.15,6.59,26.1,muskmelon
23.31,128.11,202.48,21.36,94.08,5.59,119.29,apple
119.8,74.51,48.08,29.99,79.22,6.5,117.67,banana
66.93,55.2,23.16,22.07,58.37,6.18,68.45,maize
102.12,20.98,50.52,29.72,91.28,6.37,29.26,muskmelon
46.97,67.27,23.15,35.53,68.12,6.74,93.18,blackgram
23.77,125.89,210.06,23.25,90.2,5.64,110.49,apple
42.16,68.89,22.68,29.83,65.29,6.3,81.6,blackgram
20.61,44.09,22.08,30.11,62.3,6.69,100.99,mothbeans
102.08,18.19,50.75,26.09,91.57,6.54,55.37,watermelon
113.81,78.16,52.55,29.45,81.61,6.85,175.07,banana
102.49,19.74,49.32,25.41,90.04,6.53,47.91,watermelon
23.51,51.35,24.95,29.9,62.89,4.3,105.27,mothbeans
77.5,58.08,43.48,23.6,87.84,6.09,262.21,rice
19.72,17.84,33.47,27.69,92.78,6.24,159.54,coconut
24.58,17.61,34.97,33.91,57.73,4.51,182.18,mango
21.21,126.58,211.4,10.97,87.74,6.85,59.06,grapes
21.08,23.71,44.84,26.18,89.42,6.81,105.98,pomegranate
29.45,77.6,20.59,22.74,22.25,5.94,106.83,kidneybeans
20.93,130.09,209.26,13.93,83.79,6.27,67.05,grapes
79.98,48.5,44.87,26.49,84.38,6.25,185.45,jute
65.12,43.04,41.39,24.49,81.82,6.02,289.68,rice
118.02,49.78,46.59,26.36,79.34,7.86,73.29,cotton
28.3,48.44,27.42,26.96,93.2,6.65,65.14,mungbean
39.82,66.41,17.73,30.48,69.87,6.41,80.56,blackgram
25.87,78.64,22.76,18.61,22.32,5.67,117.26,kidneybeans
61.38,58.19,42.59,24.64,83.12,6.28,254.67,rice
21.56,130.26,202.47,10.27,87.69,6.88,61.86,grapes
24.5,131.88,211.8,23.07,95.65,5.82,117.71,apple
21.29,20.1,43.82,22.5,89.15,6.26,183.02,pomegranate
36.87,74.7,22.0,23.54,44.51,5.37,185.5,pigeonpeas
69.6,59.0,20.04,24.25,67.9,6.67,62.38,maize
77.01,63.01,22.96,25.53,65.46,6.52,97.12,maize
23.47,128.95,203.21,21.82,91.06,6.45,113.64,apple
21.28,81.49,21.51,21.11,40.22,5.6,150.26,pigeonpeas
20.2,15.44,34.02,27.22,90.25,6.13,149.36,coconut
31.62,84.81,27.08,21.1,47.07,5.78,122.89,pigeonpeas
49.08,61.01,52.4,35.74,91.62,6.34,152.28,papaya
53.36,64.11,50.05,33.41,90.08,6.43,148.21,papaya
49.75,60.67,76.25,22.25,15.53,7.6,76.44,chickpea
21.15,20.57,14.69,11.78,93.45,7.25,116.88,orange
87.62,40.79,47.99,24.4,80.82,6.81,292.09,rice
22.74,19.22,13.47,11.16,90.28,7.42,113.14,orange
20.95,76.78,24.14,17.95,67.3,6.38,41.02,lentil
19.92,15.33,31.94,34.16,59.83,5.91,116.16,mango
113.02,73.4,51.75,27.19,79.02,6.41,187.13,banana
117.01,74.55,52.68,27.71,87.49,5.69,112.98,banana
77.16,49.64,40.6,25.94,80.49,6.67,184.58,jute
20.74,122.49,202.41,13.18,87.65,6.79,58.43,grapes
53.47,60.93,54.85,35.17,91.05,6.47,153.58,papaya
21.78,128.0,200.99,20.15,90.26,6.81,116.78,apple
22.09,129.05,201.53,9.83,83.38,6.21,59.44,grapes
101.01,21.34,50.69,26.21,88.33,6.12,58.56,watermelon
119.27,47.21,47.65,26.4,83.75,7.02,76.84,cotton
23.92,72.22,21.37,19.45,21.62,5.51,100.38,kidneybeans
100.61,19.66,54.57,26.02,85.52,6.46,57.82,watermelon
23.77,78.45,29.72,18.71,40.08,5.87,109.26,pigeonpeas
22.23,72.6,20.92,17.15,64.56,6.03,48.74,lentil
99.69,19.67,49.17,30.11,92.72,6.3,20.35,muskmelon
106.51,73.14,54.83,26.43,81.36,6.47,102.47,banana
19.22,67.22,22.46,16.57,66.17,7.07,49.96,lentil
23.86,133.75,206.6,20.75,91.71,6.21,119.54,apple
27.71,66.81,24.5,19.08,21.88,6.31,138.1,kidneybeans
21.81,21.54,31.71,32.18,50.45,4.16,145.72,mango
63.71,63.03,23.44,24.94,67.67,6.64,97.57,maize
21.65,16.15,13.39,11.56,91.07,7.29,114.04,orange
22.94,19.9,30.8,34.08,55.77,4.66,126.91,mango
19.67,16.91,30.29,27.02,89.65,7.76,146.88,coconut
67.08,41.77,41.21,23.23,82.06,6.05,250.34,rice
22.64,21.31,10.54,10.66,92.97,6.16,113.46,orange
100.92,30.3,34.08,26.24,61.74,6.02,153.17,coffee
119.02,47.76,43.82,24.84,79.01,6.75,77.0,cotton
27.85,76.07,24.04,19.36,48.59,6.35,183.79,pigeonpeas
46.88,69.21,17.96,29.07,69.77,6.07,71.97,blackgram
103.76,21.01,54.32,31.26,91.67,6.25,23.7,muskmelon
34.7,52.2,23.86,26.33,87.61,6.42,75.96,mungbean
99.09,27.43,34.22,27.61,60.5,6.89,161.87,coffee
92.58,45.64,41.18,24.88,86.29,6.82,273.51,rice
102.1,17.39,48.01,31.03,95.88,6.81,24.6,muskmelon
49.21,64.1,54.93,36.89,92.07,6.24,144.35,papaya
53.61,64.31,53.32,34.74,93.18,6.59,159.48,papaya
30.27,45.76,18.08,29.96,87.86,6.73,41.44,mungbean
19.32,128.23,204.31,8.1,84.9,6.49,63.88,grapes
24.83,18.33,33.17,27.72,56.06,4.27,195.92,mango
32.43,54.37,19.33,25.36,94.94,6.23,43.23,mungbean
51.0,60.87,87.66,22.61,20.62,8.46,95.37,chickpea
71.72,57.59,22.28,18.16,68.08,6.9,93.91,maize
23.89,21.18,33.51,27.23,58.29,6.36,125.9,mango
21.38,19.74,47.78,21.4,89.51,5.94,117.28,pomegranate
21.9,16.7,31.35,26.34,93.07,6.45,154.58,coconut
20.78,22.44,33.07,30.11,51.71,4.68,157.55,mango
73.09,54.1,24.66,19.36,61.49,6.92,85.18,maize
21.7,15.61,35.04,26.36,92.81,7.85,152.51,coconut
38.01,55.84,26.12,31.8,68.92,4.54,50.11,mothbeans
101.41,75.34,50.27,29.73,79.24,6.19,167.13,banana
21.23,14.23,30.19,26.57,90.98,7.02,140.37,coconut
92.72,57.21,40.07,23.58,84.17,5.83,211.99,rice
26.91,71.71,29.74,24.0,47.01,6.45,156.21,pigeonpeas
99.38,29.75,32.69,26.41,60.69,6.12,154.9,coffee
53.14,79.13,76.38,15.46,17.1,6.79,69.88,chickpea
21.1,14.37,32.06,27.16,92.65,5.99,150.85,coconut
23.15,71.2,21.48,24.1,46.73,6.59,125.05,pigeonpeas
50.83,58.13,52.14,33.06,90.01,6.62,143.78,papaya
102.35,21.65,53.76,28.17,91.77,6.4,23.1,muskmelon
25.97,55.51,22.72,26.39,85.11,6.54,98.55,mungbean
89.86,52.99,48.49,24.6,85.68,5.64,236.77,rice
101.9,30.27,30.94,27.67,61.06,6.08,168.93,coffee
38.72,73.17,19.94,30.21,67.79,6.35,97.65,blackgram
20.24,17.21,40.96,24.01,91.09,6.02,174.65,pomegranate
20.2,128.86,203.69,20.67,90.14,5.7,116.55,apple
100.47,19.36,50.11,24.5,87.85,6.23,50.7,watermelon
47.6,77.27,85.38,18.83,14.28,7.02,75.21,chickpea
101.35,21.73,48.81,26.84,90.13,6.64,52.91,watermelon
107.89,72.02,48.84,27.67,85.13,6.13,173.07,banana
99.35,29.93,32.08,25.44,63.36,6.74,168.07,coffee
99.34,33.95,32.89,25.49,58.09,6.17,166.76,coffee
29.45,60.91,19.68,19.94,24.8,6.0,124.1,kidneybeans
38.94,48.0,27.4,27.66,69.81,3.59,110.35,mothbeans
99.08,21.6,53.67,26.51,85.65,6.74,59.2,watermelon
30.12,69.68,17.11,30.46,69.63,6.16,98.8,blackgram
113.24,77.21,53.74,29.53,76.8,6.3,128.45,banana
119.51,51.31,43.57,26.47,82.15,6.04,75.87,cotton
32.02,74.11,26.26,20.62,19.17,6.15,107.13,kidneybeans
76.58,50.56,22.17,20.07,56.81,5.62,101.78,maize
100.47,20.26,48.81,29.63,94.78,6.37,25.91,muskmelon
20.41,18.15,12.54,12.55,95.67,6.82,119.53,orange
19.15,18.57,45.93,26.34,94.83,5.85,188.13,pomegranate
69.35,59.2,19.17,26.92,58.48,6.91,98.98,maize
103.15,16.25,48.16,29.49,89.19,6.56,29.17,muskmelon
20.03,130.15,198.94,13.34,86.4,6.74,57.56,grapes
49.58,64.34,53.63,34.04,92.35,6.13,141.48,papaya
100.43,19.1,49.84,28.84,92.79,6.09,20.58,muskmelon
22.85,15.18,14.71,11.61,90.22,7.38,111.4,orange
99.42,20.87,53.03,30.92,88.8,6.72,26.8,muskmelon
81.35,50.22,39.53,24.22,83.01,6.39,185.32,jute
20.2,122.54,210.88,12.23,81.2,6.53,62.23,grapes
79.12,46.02,43.82,25.05,80.8,6.89,179.93,jute
77.21,48.24,40.93,26.34,80.48,6.98,173.62,jute
102.04,27.16,34.52,27.06,58.24,6.82,154.01,coffee
121.26,46.73,42.11,25.48,80.66,7.13,78.49,cotton
22.88,21.04,41.86,22.94,91.93,5.51,107.85,pomegranate
117.23,45.05,47.93,25.64,79.92,6.94,69.0,cotton
35.12,69.17,21.47,24.3,18.81,6.93,115.7,kidneybeans
20.73,18.83,10.32,11.99,91.62,7.5,113.08,orange
103.04,28.83,33.59,25.81,58.23,6.52,153.93,coffee
30.38,73.55,21.74,23.42,23.41,6.28,148.8,kidneybeans
19.54,123.56,200.79,13.29,81.45,6.79,69.42,grapes
20.59,129.27,211.48,13.31,84.3,6.36,68.92,grapes
48.65,66.24,85.12,18.52,15.16,7.92,68.64,chickpea
18.27,23.79,31.2,28.03,54.68,5.79,103.1,mango
22.1,16.08,45.61,24.99,90.56,5.58,175.49,pomegranate
53.4,65.19,50.34,37.96,90.72,6.05,157.11,papaya
33.06,78.77,28.45,23.36,23.52,6.5,113.01,kidneybeans
100.83,31.52,34.63,25.12,64.43,6.61,166.15,coffee
23.16,20.08,47.89,20.38,90.49,6.22,150.31,pomegranate
37.14,55.29,19.76,31.9,94.45,6.68,59.9,mungbean
48.45,59.55,52.59,37.27,91.77,6.33,150.74,papaya
36.45,76.08,24.63,21.64,19.0,6.66,113.57,kidneybeans
20.57,51.67,18.14,32.87,56.13,3.64,108.84,mothbeans
20.25,16.66,34.88,26.72,91.99,7.95,155.68,coconut
19.88,78.24,22.43,21.77,65.54,7.44,40.28,lentil
23.99,19.91,39.93,21.34,93.38,5.9,176.72,pomegranate
21.98,19.4,29.47,30.72,58.21,5.84,183.22,mango
19.1,73.67,22.16,22.04,65.86,6.9,44.05,lentil
36.96,72.4,20.9,29.01,66.45,6.24,72.47,blackgram
109.6,76.48,51.45,27.9,77.84,6.85,167.42,banana
101.76,17.39,53.2,25.6,90.66,6.78,44.3,watermelon
118.46,80.27,48.89,26.78,83.89,6.75,104.37,banana
103.06,17.34,53.02,26.83,88.69,6.54,49.22,watermelon
20.21,15.8,15.02,10.14,95.0,6.21,118.87,orange
60.39,51.56,23.6,19.61,64.79,5.86,65.97,maize
18.36,69.93,18.86,19.21,66.1,7.55,48.03,lentil
109.74,82.54,51.69,29.65,82.26,6.24,111.97,banana
39.62,69.67,28.36,22.12,20.63,5.93,110.16,kidneybeans
49.71,64.66,52.3,37.57,91.62,6.12,140.12,papaya
26.75,56.55,18.01,28.08,87.41,6.23,44.09,mungbean
22.25,17.31,32.99,26.61,90.52,5.98,152.57,coconut
117.85,45.07,43.42,23.94,80.38,7.84,78.19,cotton
19.05,20.59,42.61,26.31,94.51,6.08,149.17,pomegranate
49.37,62.38,51.17,37.39,90.7,6.26,155.04,papaya
66.68,61.56,18.75,18.68,65.92,6.24,101.3,maize
120.08,45.66,46.69,26.97,81.25,7.37,68.56,cotton
21.67,130.09,205.45,21.07,95.47,6.05,110.46,apple
21.86,126.07,200.0,15.72,83.16,6.49,63.5,grapes
101.61,29.35,28.01,25.92,59.95,6.39,152.64,coffee
100.16,28.76,31.27,27.69,59.05,6.83,155.83,coffee
102.68,16.83,54.76,26.46,86.43,6.19,42.51,watermelon
78.79,46.35,39.43,24.56,81.42,6.8,181.38,jute
34.12,60.02,16.35,35.82,66.21,6.66,94.37,blackgram
22.92,21.45,31.62,34.61,50.22,4.91,192.11,mango
118.79,51.26,42.42,26.92,81.93,6.37,75.19,cotton
90.89,43.97,40.06,25.71,87.07,6.59,277.13,rice
21.32,17.9,10.27,13.92,94.07,6.71,119.0,orange
19.53,128.21,203.35,13.08,81.8,7.0,61.38,grapes
48.8,66.86,24.89,31.88,65.9,6.89,81.11,blackgram
31.48,51.32,28.54,30.58,94.6,6.05,45.88,mungbean
99.38,19.01,52.81,26.38,89.08,6.91,58.84,watermelon
71.66,56.32,24.25,25.36,60.13,5.89,82.78,maize
21.8,62.59,20.63,16.79,67.74,6.89,47.78,lentil
32.04,77.85,23.32,22.25,22.42,6.39,135.13,kidneybeans
20.9,125.44,203.14,8.76,81.37,5.88,56.11,grapes
61.02,42.16,40.31,24.45,83.14,6.26,290.76,rice
20.76,16.92,10.39,10.25,90.69,6.11,117.61,orange
47.98,71.6,85.67,19.86,22.41,8.44,88.72,chickpea
19.11,122.42,203.73,10.6,86.66,6.7,61.86,grapes
99.77,20.76,53.5,28.95,90.31,6.94,28.26,muskmelon
22.5,128.75,206.76,23.17,91.68,6.34,117.09,apple
23.7,78.72,21.59,23.6,67.21,6.79,48.48,lentil
27.49,55.95,22.41,25.87,61.14,6.46,129.59,mothbeans
26.11,48.05,26.07,31.82,56.3,3.97,113.24,mothbeans
62.63,60.74,24.36,19.62,58.56,6.96,70.86,maize
46.95,78.0,75.44,20.31,24.6,7.68,97.47,chickpea
18.62,23.78,41.21,21.25,89.68,6.13,125.12,pomegranate
99.99,19.45,54.48,24.44,91.8,6.95,57.69,watermelon
20.11,20.88,13.54,10.96,93.49,6.76,113.99,orange
28.15,43.22,25.88,34.71,61.24,6.0,56.85,mothbeans
72.15,57.69,19.61,19.59,58.31,5.78,106.78,maize
30.89,79.19,20.01,23.46,45.84,6.9,104.24,pigeonpeas
24.35,17.72,44.15,22.84,88.29,6.02,126.52,pomegranate
33.08,82.78,24.95,22.43,41.56,5.95,171.64,pigeonpeas
19.64,124.52,204.89,8.18,85.7,6.28,68.48,grapes
23.64,43.14,27.93,25.42,58.38,4.09,137.93,mothbeans
34.95,69.48,18.69,24.7,24.6,6.68,149.57,kidneybeans
26.61,51.28,28.21,27.02,68.69,5.91,132.33,mothbeans
77.46,49.99,38.49,25.49,81.31,6.31,187.41,jute
22.43,128.54,210.48,20.66,90.9,6.37,116.57,apple
120.73,45.77,44.55,23.07,77.27,6.97,69.47,cotton
24.24,71.39,23.83,23.93,64.98,7.38,46.74,lentil
103.96,28.71,29.39,26.58,61.76,6.44,165.44,coffee
112.92,73.81,54.53,26.92,85.94,5.53,120.52,banana
18.43,124.68,200.63,11.85,85.61,5.9,55.18,grapes
37.46,43.38,18.64,32.17,89.75,6.85,63.0,mungbean
48.96,62.41,52.24,36.53,94.76,6.29,146.61,papaya
67.22,51.37,24.42,19.23,69.25,6.17,71.11,maize
100.12,29.51,29.61,26.74,63.59,6.79,157.29,coffee
100.07,19.8,53.33,26.96,86.26,6.77,46.78,watermelon
30.18,72.39,29.2,23.79,46.97,6.43,146.17,pigeonpeas
49.45,67.2,20.3,30.84,68.41,6.66,90.04,blackgram
21.6,49.54,25.56,33.29,92.83,6.28,96.45,mungbean
55.73,64.03,80.17,16.32,17.63,8.27,80.78,chickpea
23.23,74.54,26.62,19.73,46.41,6.33,116.27,pigeonpeas
62.44,45.54,48.06,25.24,81.85,5.81,237.05,rice
99.08,30.36,34.01,27.69,64.69,6.88,161.6,coffee
102.4,28.73,32.2,25.77,60.33,6.44,160.58,coffee
78.97,61.45,18.98,25.82,62.31,6.84,107.99,maize
22.4,16.4,15.68,11.71,92.64,7.06,115.88,orange
102.75,16.82,48.47,31.9,95.66,6.06,24.43,muskmelon
24.64,130.29,208.55,21.76,94.48,5.81,113.71,apple
53.83,61.67,52.16,34.34,94.52,6.99,140.98,papaya
48.41,60.24,20.98,33.93,67.43,6.09,99.04,blackgram
99.35,19.59,49.85,25.58,88.62,6.92,50.98,watermelon
55.22,63.2,84.23,15.07,16.71,8.18,99.67,chickpea
18.12,17.64,15.37,11.37,91.64,6.45,116.12,orange
21.54,24.9,42.65,20.41,89.84,6.15,115.69,pomegranate
49.95,65.12,51.85,35.07,90.51,6.71,154.06,papaya
21.56,130.14,206.24,23.16,93.94,6.41,114.12,apple
39.28,61.79,26.24,21.46,20.71,6.45,135.19,kidneybeans
21.19,72.08,26.24,18.8,20.69,6.18,118.45,kidneybeans
102.45,19.2,50.65,25.02,89.35,6.89,49.92,watermelon
78.22,45.28,44.9,25.02,80.18,6.91,181.7,jute
24.61,18.36,32.92,27.76,52.0,5.24,120.62,mango
22.65,19.05,47.36,26.39,89.47,5.56,174.13,pomegranate
43.54,61.28,21.37,33.92,66.05,6.84,66.06,blackgram
118.25,46.77,45.77,26.05,84.01,7.7,79.47,cotton
24.38,60.73,19.3,20.37,23.62,6.36,125.63,kidneybeans
21.09,17.69,33.48,26.35,93.78,6.28,151.83,coconut
72.44,46.5,47.3,24.46,88.87,6.21,211.96,rice
19.36,76.54,21.94,22.1,68.28,6.42,45.69,lentil
79.38,61.24,18.91,24.82,55.37,5.53,79.42,maize
44.11,62.43,87.3,21.2,21.08,7.59,61.68,chickpea
103.08,18.7,50.28,29.88,94.55,6.12,28.58,muskmelon
18.74,19.45,15.7,14.98,92.25,6.9,118.56,orange
20.57,20.73,46.09,22.53,91.67,6.51,126.94,pomegranate
53.23,63.7,78.48,15.79,21.26,8.29,70.6,chickpea
19.54,63.29,20.84,23.41,68.26,6.84,45.17,lentil
74.38,54.46,21.96,22.28,64.96,6.91,103.95,maize
37.05,73.36,25.12,24.25,19.3,5.62,111.98,kidneybeans
21.94,14.03,32.77,27.59,90.86,6.81,153.38,coconut
103.58,16.75,50.93,29.38,91.99,6.46,25.19,muskmelon
102.58,20.8,50.42,24.52,85.02,6.45,47.05,watermelon
30.28,46.17,24.88,28.25,50.79,4.45,50.64,mothbeans
64.3,50.47,19.84,23.36,55.77,6.24,95.81,maize
63.63,63.63,22.08,21.61,61.93,6.92,69.2,maize
21.58,48.86,21.13,28.43,66.69,6.77,68.57,mothbeans
52.48,69.04,86.73,16.34,22.11,8.59,68.67,chickpea
48.45,70.05,18.95,33.9,65.18,6.47,76.77,blackgram
77.49,45.28,43.27,25.28,84.97,6.1,187.11,jute
48.97,63.39,52.17,34.47,90.1,6.08,147.83,papaya
32.01,74.87,24.08,22.44,18.5,5.88,118.09,kidneybeans
102.49,16.49,50.93,30.24,89.5,6.45,26.01,muskmelon
22.28,18.43,11.3,10.85,90.0,7.08,111.11,orange
46.31,71.95,19.54,31.79,69.27,6.34,95.44,blackgram
19.22,72.96,19.72,21.74,68.66,7.35,46.14,lentil
71.57,56.58,23.08,22.38,68.1,6.85,85.3,maize
27.84,53.94,20.32,31.42,55.2,6.6,139.57,mothbeans
21.4,20.87,46.18,21.2,93.65,6.54,155.59,pomegranate
29.38,45.37,19.21,26.67,52.95,6.91,125.93,mothbeans
100.1,20.24,53.48,25.37,89.89,6.39,43.2,watermelon
102.91,19.18,52.13,24.6,87.01,6.16,44.99,watermelon
28.15,50.43,28.76,26.96,85.23,6.86,74.63,mungbean
65.58,45.84,43.66,23.19,87.85,5.8,251.42,rice
99.06,19.53,51.51,31.49,88.67,6.68,26.8,muskmelon
33.77,70.07,18.12,23.06,45.36,6.67,182.14,pigeonpeas
92.34,46.09,40.98,24.79,84.4,5.68,249.52,rice
101.56,28.86,34.55,26.37,58.89,6.43,152.54,coffee
24.42,47.62,27.7,33.24,57.69,5.11,80.33,mothbeans
45.48,61.59,76.71,22.15,16.11,6.97,69.07,chickpea
101.5,73.61,52.51,26.7,85.62,6.34,125.6,banana
20.65,53.17,24.39,26.03,53.45,5.49,79.64,mothbeans
47.35,61.36,75.52,16.08,24.59,7.65,98.63,chickpea
24.07,68.64,24.77,19.62,64.86,6.78,49.52,lentil
103.99,20.51,54.05,25.95,90.99,6.11,46.95,watermelon
20.03,21.29,29.83,32.24,52.83,4.0,112.69,mango
78.74,47.8,40.53,26.48,81.16,6.52,189.65,jute
51.84,60.18,49.71,33.69,95.94,6.62,143.73,papaya
21.25,64.92,24.4,18.68,69.71,7.07,46.32,lentil
49.46,64.12,54.64,36.58,96.17,6.64,147.75,papaya
99.47,21.93,54.64,24.23,91.53,6.36,56.89,watermelon
51.21,72.07,88.53,21.44,16.97,8.48,79.93,chickpea
30.01,52.91,24.13,26.2,88.12,6.8,91.69,mungbean
99.83,18.1,53.19,31.03,93.34,6.23,25.88,muskmelon
30.93,67.61,29.72,18.78,20.96,5.56,137.0,kidneybeans
28.27,40.8,21.29,34.56,94.54,6.35,42.59,mungbean
52.77,60.8,49.49,34.87,91.9,6.09,156.6,papaya
38.94,74.93,22.57,19.14,47.86,6.47,138.44,pigeonpeas
39.15,51.31,24.17,25.85,60.98,4.83,110.71,mothbeans
102.79,31.49,34.47,27.35,59.27,6.8,162.83,coffee
30.82,52.1,20.65,31.26,90.72,6.18,43.58,mungbean
100.12,19.12,51.94,26.83,86.37,6.64,56.35,watermelon
21.03,129.25,209.58,11.83,82.93,5.9,63.04,grapes
54.35,73.85,94.83,16.03,15.15,8.17,83.14,chickpea
101.27,20.41,50.57,24.06,85.7,6.5,53.8,watermelon
24.97,17.89,30.04,28.93,59.36,5.56,136.48,mango
19.99,16.19,12.3,14.36,92.18,7.43,119.46,orange
22.26,18.88,14.31,14.49,95.41,6.49,119.52,orange
89.84,51.67,49.62,22.62,82.86,6.8,222.36,rice
61.63,51.82,46.78,20.12,85.12,5.84,264.52,rice
20.25,127.28,199.28,14.47,82.5,5.8,61.19,grapes
64.99,57.34,19.55,26.89,69.16,5.56,102.33,maize
26.28,53.82,21.26,26.91,53.69,4.7,93.0,mothbeans
19.17,74.24,19.23,17.88,66.97,7.83,42.12,lentil
119.01,45.47,45.1,24.38,82.38,7.9,72.28,cotton
78.96,53.35,41.72,21.35,80.41,5.75,227.86,rice
20.26,134.49,206.98,23.51,94.06,6.04,115.13,apple
19.26,17.18,10.73,14.32,92.96,6.86,115.69,orange
22.31,129.39,198.18,14.26,83.93,6.35,64.74,grapes
20.78,78.34,21.88,24.29,48.88,5.65,190.1,pigeonpeas
21.15,16.37,32.8,26.2,91.23,5.15,147.91,coconut
101.67,27.94,34.53,27.68,59.33,6.34,162.27,coffee
22.0,15.93,10.66,14.61,94.51,6.88,117.69,orange
20.81,20.0,14.37,13.33,95.22,7.31,115.79,orange
34.76,76.68,26.89,19.0,23.27,6.65,132.93,kidneybeans
120.72,50.99,43.86,24.57,79.85,7.67,65.67,cotton
99.44,19.65,50.02,24.48,88.81,6.53,41.52,watermelon
115.6,81.25,49.6,29.61,83.89,6.07,150.19,banana
109.13,74.05,49.87,27.55,77.21,6.42,156.57,banana
101.85,21.44,53.49,30.49,90.52,6.54,20.91,muskmelon
19.14,15.17,12.3,10.71,94.26,6.99,110.44,orange
18.47,126.0,203.23,9.93,85.1,6.16,55.51,grapes
23.37,56.73,24.59,26.89,92.2,6.51,76.26,mungbean
28.14,61.32,22.19,18.78,23.66,6.92,103.62,kidneybeans
19.07,122.72,202.56,9.29,85.97,6.3,57.16,grapes
65.17,59.08,46.06,21.6,86.72,6.43,235.82,rice
69.67,41.86,48.97,26.3,86.33,6.01,234.92,rice
49.62,58.79,54.86,34.48,96.1,6.0,140.42,papaya
25.62,43.47,22.56,33.01,57.84,6.13,62.55,mothbeans
40.36,72.28,18.13,31.87,67.15,6.07,68.72,blackgram
92.14,45.64,41.77,25.25,88.07,6.99,241.26,rice
22.66,43.17,29.39,33.8,94.07,6.99,52.5,mungbean
33.09,63.04,23.28,22.31,18.58,6.82,140.18,kidneybeans
35.18,61.06,22.53,28.97,66.51,6.53,84.75,blackgram
23.27,43.69,20.43,28.87,85.51,6.4,70.7,mungbean
67.39,59.39,47.75,26.58,88.95,6.4,292.19,rice
24.38,76.41,23.32,16.39,69.06,6.88,43.42,lentil
109.79,78.15,49.87,27.27,82.06,6.56,194.06,banana
32.25,77.47,26.69,18.84,24.32,5.6,126.7,kidneybeans
69.91,47.12,47.58,20.1,81.16,5.57,204.07,rice
52.7,61.11,51.41,37.95,91.5,6.42,145.84,papaya
74.95,57.54,19.63,26.1,60.76,6.32,114.39,maize
36.67,68.81,21.63,19.82,19.36,5.59,117.12,kidneybeans
109.3,79.57,51.15,25.94,82.62,6.29,181.06,banana
44.17,78.61,77.33,21.54,18.19,8.63,94.72,chickpea
47.47,64.55,76.46,19.83,21.35,7.86,78.54,chickpea
22.85,15.4,34.88,30.59,56.37,4.66,167.71,mango
99.45,20.16,49.16,31.15,90.0,6.42,23.5,muskmelon
